table_name,column_name,ordinal_position,column_default,is_nullable,data_type,character_maximum_length,numeric_precision,numeric_scale
archToSSN,ID,1,"nextval('tmp_df10.""archToSSN_ID_seq""'::regclass)",NO,integer,,32.0,0.0
archToSSN,ArchPolyID,2,,YES,smallint,,16.0,0.0
archToSSN,SSN,3,,YES,smallint,,16.0,0.0
archToSSN,Area_SSN_Coverage,4,,YES,double precision,,53.0,
artifactCodes,Code,1,,NO,smallint,,16.0,0.0
artifactCodes,Description,2,,YES,text,,,
artifactTable,ID,1,"nextval('tmp_df10.""artifactTable_ID_seq""'::regclass)",NO,integer,,32.0,0.0
artifactTable,ArtCode1,2,,YES,smallint,,16.0,0.0
artifactTable,ArtCode2,3,,YES,smallint,,16.0,0.0
artifactTable,ArtCode3,4,,YES,smallint,,16.0,0.0
artifactTable,SSN,5,,NO,smallint,,16.0,0.0
artifactTable,Count,6,,YES,integer,,32.0,0.0
artifactTable,Where,7,,YES,text,,,
codeCodes,Code,1,,NO,smallint,,16.0,0.0
codeCodes,Description,2,,YES,text,,,
codeTable,ID,1,"nextval('tmp_df10.""codeTable_ID_seq""'::regclass)",NO,integer,,32.0,0.0
codeTable,SSN,2,,NO,smallint,,16.0,0.0
codeTable,Code,3,,NO,smallint,,16.0,0.0
codeTable,Variable,4,,YES,text,,,
codeTable,Where,5,,YES,text,,,
interpCodes,Code,1,,NO,smallint,,16.0,0.0
interpCodes,Description,2,,YES,text,,,
interpTable,ID,1,"nextval('tmp_df10.""interpTable_ID_seq""'::regclass)",NO,integer,,32.0,0.0
interpTable,SSN,2,,NO,smallint,,16.0,0.0
interpTable,Code,3,,YES,smallint,,16.0,0.0
interpTable,Variable,4,,YES,text,,,
interpTable,Where,5,,YES,text,,,
provTable,SSN,1,,NO,smallint,,16.0,0.0
provTable,Site,2,,YES,text,,,
provTable,Subsite,3,,YES,text,,,
provTable,Unit,4,,YES,text,,,
provTable,Northing,5,,YES,smallint,,16.0,0.0
provTable,Easting,6,,YES,smallint,,16.0,0.0
totalsTable,ID,1,"nextval('tmp_df10.""totalsTable_ID_seq""'::regclass)",NO,integer,,32.0,0.0
totalsTable,SSN,2,,NO,smallint,,16.0,0.0
totalsTable,Count,3,,YES,integer,,32.0,0.0
totalsTable,Variable,4,,YES,text,,,
totalsTable,Where,5,,YES,text,,,
