fq_table_name,tablename,column_name,null_percent,distinct_values_estimate,null_count_estimate
tmp_df9.archInterp,archInterp,func1Oxto,0.0,20.0,0
tmp_df9.archInterp,archInterp,func2PMic,0.0,25.0,0
tmp_df9.archInterp,archInterp,func2McTl,0.0,27.0,0
tmp_df9.location,location,SSN,0.0,-1.0,0
tmp_df9.location,location,site,0.0,197.0,0
tmp_df9.location,location,subsite,0.0,195.0,0
tmp_df9.archInterp,archInterp,func2XlMe,0.0,27.0,0
tmp_df9.location,location,unit,0.0,142.0,0
tmp_df9.location,location,northing,0.0,-0.1239604,0
tmp_df9.location,location,easting,0.0,-0.14316832,0
tmp_df9.archInterp,archInterp,func2Oxto,0.0,13.0,0
tmp_df9.admin,admin,SSN,0.0,-1.0,0
tmp_df9.admin,admin,collectionYear,0.0,10.0,0
tmp_df9.admin,admin,collectionQuarter,0.0,5.0,0
tmp_df9.admin,admin,analysisYear,0.0,11.0,0
tmp_df9.admin,admin,analysisQuarter,0.0,5.0,0
tmp_df9.description,description,SSN,0.0,-1.0,0
tmp_df9.description,description,midden,0.0,4.0,0
tmp_df9.description,description,burials,0.0,10.0,0
tmp_df9.description,description,height,0.0,86.0,0
tmp_df9.description,description,slope,0.0,5.0,0
tmp_df9.description,description,areaSite,0.0,-0.20316832,0
tmp_df9.description,description,areaStruct,0.0,-0.26653466,0
tmp_df9.description,description,lastBuildPhase,0.0,8.0,0
tmp_df9.description,description,ceramicAbundance,0.0,11.0,0
tmp_df9.description,description,intrusiveSherd,0.0,6.0,0
tmp_df9.archInterp,archInterp,SSN,0.0,-1.0,0
tmp_df9.archInterp,archInterp,neighborhoodChar,0.0,5.0,0
tmp_df9.archInterp,archInterp,constructQual,0.0,5.0,0
tmp_df9.archInterp,archInterp,boundInfoQual,0.0,4.0,0
tmp_df9.archInterp,archInterp,insubstantialCount,0.0,13.0,0
tmp_df9.archInterp,archInterp,arch1PMic,0.0,17.0,0
tmp_df9.archInterp,archInterp,arch1McTl,0.0,18.0,0
tmp_df9.archInterp,archInterp,arch1XlMe,0.0,18.0,0
tmp_df9.archInterp,archInterp,arch1Oxto,0.0,13.0,0
tmp_df9.archInterp,archInterp,arch2PMic,0.0,17.0,0
tmp_df9.archInterp,archInterp,arch2McTl,0.0,19.0,0
tmp_df9.archInterp,archInterp,arch2XlMe,0.0,19.0,0
tmp_df9.archInterp,archInterp,arch2Oxto,0.0,11.0,0
tmp_df9.archInterp,archInterp,func1PMic,0.0,26.0,0
tmp_df9.archInterp,archInterp,func1McTl,0.0,28.0,0
tmp_df9.archInterp,archInterp,func1XlMe,0.0,28.0,0
tmp_df9.condition,condition,SSN,0.0,-1.0,0
