fq_table_name,tablename,column_name,null_percent,distinct_values_estimate,null_count_estimate
tmp_rean_df2.REAN_01,REAN_01,cto,7.002967596054077,39.0,354
tmp_rean_df2.REAN_02,REAN_02,ssn,0.0,-1.0,0
tmp_rean_df2.REAN_00,REAN_00,ssn,0.0,-1.0,0
tmp_rean_df2.REAN_00,REAN_00,unit,0.09891196386888623,142.0,4
tmp_rean_df2.REAN_00,REAN_00,site,0.09891196386888623,197.0,4
tmp_rean_df2.REAN_01,REAN_01,tzactot,7.002967596054077,116.0,354
tmp_rean_df2.REAN_02,REAN_02,rtoincised,7.02274963259697,19.0,354
tmp_rean_df2.REAN_00,REAN_00,subsite,0.09891196386888623,195.0,4
tmp_rean_df2.REAN_00,REAN_00,comment_admin,99.88130331039429,2.0,5048
tmp_rean_df2.REAN_01,REAN_01,ssn,0.0,-1.0,0
tmp_rean_df2.REAN_01,REAN_01,rean_yearmon,7.002967596054077,107.0,354
tmp_rean_df2.REAN_01,REAN_01,rean_month,100.0,0.0,5055
tmp_rean_df2.REAN_01,REAN_01,rean_year,7.101879268884659,17.0,358
tmp_rean_df2.REAN_01,REAN_01,analyst_banos,7.002967596054077,3.0,354
tmp_rean_df2.REAN_01,REAN_01,analyst_ortega,7.002967596054077,3.0,354
tmp_rean_df2.REAN_01,REAN_01,analyst_avilaand,7.002967596054077,5.0,354
tmp_rean_df2.REAN_01,REAN_01,analyst_avilaang,7.002967596054077,3.0,354
tmp_rean_df2.REAN_01,REAN_01,analyst_rattray,7.002967596054077,3.0,354
tmp_rean_df2.REAN_01,REAN_01,certot_rean,7.002967596054077,-0.13076162,354
tmp_rean_df2.REAN_01,REAN_01,certot_df9,7.002967596054077,-0.1297725,354
tmp_rean_df2.REAN_01,REAN_01,cuantot,7.002967596054077,42.0,354
tmp_rean_df2.REAN_01,REAN_01,patltot,7.002967596054077,138.0,354
tmp_rean_df2.REAN_01,REAN_01,micctot,7.002967596054077,146.0,354
tmp_rean_df2.REAN_01,REAN_01,tlamtot,7.002967596054077,194.0,354
tmp_rean_df2.REAN_01,REAN_01,xolatot,7.002967596054077,253.0,354
tmp_rean_df2.REAN_01,REAN_01,metetot,7.002967596054077,107.0,354
tmp_rean_df2.REAN_01,REAN_01,coyotot,7.002967596054077,144.0,354
tmp_rean_df2.REAN_01,REAN_01,mazatot,7.002967596054077,105.0,354
tmp_rean_df2.REAN_01,REAN_01,aztetot,7.002967596054077,198.0,354
tmp_rean_df2.REAN_01,REAN_01,rtohemi,7.002967596054077,120.0,354
tmp_rean_df2.REAN_01,REAN_01,rtoeverted,7.002967596054077,56.0,354
tmp_rean_df2.REAN_01,REAN_01,tto,7.002967596054077,41.0,354
tmp_rean_df2.REAN_02,REAN_02,rtopunctate,7.02274963259697,17.0,354
tmp_rean_df2.REAN_02,REAN_02,rtovase,7.02274963259697,16.0,354
tmp_rean_df2.REAN_02,REAN_02,rtomini,7.02274963259697,5.0,354
tmp_rean_df2.REAN_02,REAN_02,rtomolded,7.02274963259697,8.0,354
tmp_rean_df2.REAN_02,REAN_02,rtojar,7.02274963259697,19.0,354
tmp_rean_df2.REAN_02,REAN_02,ollatot,32.779425382614136,238.0,1656
tmp_rean_df2.REAN_02,REAN_02,ollapatl,7.02274963259697,128.0,354
tmp_rean_df2.REAN_02,REAN_02,ollatzac,7.02274963259697,90.0,354
tmp_rean_df2.REAN_02,REAN_02,ollamicc,7.02274963259697,101.0,354
tmp_rean_df2.REAN_02,REAN_02,ollatlam,7.02274963259697,88.0,354
tmp_rean_df2.REAN_02,REAN_02,ollaxola,7.02274963259697,67.0,354
tmp_rean_df2.REAN_02,REAN_02,ollamete,7.02274963259697,21.0,354
tmp_rean_df2.REAN_02,REAN_02,rrollatot,26.686447858810425,51.0,1348
tmp_rean_df2.REAN_02,REAN_02,rrollaxola,7.02274963259697,54.0,354
tmp_rean_df2.REAN_02,REAN_02,rrollamete,7.02274963259697,6.0,354
tmp_rean_df2.REAN_02,REAN_02,jartot,7.02274963259697,30.0,354
tmp_rean_df2.REAN_02,REAN_02,jarmicc,7.02274963259697,17.0,354
tmp_rean_df2.REAN_02,REAN_02,jartlam,7.02274963259697,15.0,354
tmp_rean_df2.REAN_02,REAN_02,jarxola,7.02274963259697,17.0,354
tmp_rean_df2.REAN_02,REAN_02,jarmete,7.02274963259697,13.0,354
tmp_rean_df2.REAN_02,REAN_02,comaltot,7.02274963259697,40.0,354
tmp_rean_df2.REAN_03,REAN_03,ssn,0.0,-1.0,0
tmp_rean_df2.REAN_03,REAN_03,comalmicc,7.02274963259697,18.0,354
tmp_rean_df2.REAN_03,REAN_03,comaltlam,7.02274963259697,19.0,354
tmp_rean_df2.REAN_03,REAN_03,comalxola,7.02274963259697,27.0,354
tmp_rean_df2.REAN_03,REAN_03,comalmete,7.02274963259697,12.0,354
tmp_rean_df2.REAN_03,REAN_03,basinbowltot,7.02274963259697,25.0,354
tmp_rean_df2.REAN_03,REAN_03,basinbowlmicc,7.02274963259697,5.0,354
tmp_rean_df2.REAN_03,REAN_03,basinbowltlam,7.02274963259697,25.0,354
tmp_rean_df2.REAN_03,REAN_03,basinbowlxola,7.02274963259697,5.0,354
tmp_rean_df2.REAN_03,REAN_03,basinbowlmete,7.02274963259697,11.0,354
tmp_rean_df2.REAN_03,REAN_03,cazuelacratertot,7.02274963259697,58.0,354
tmp_rean_df2.REAN_03,REAN_03,cazuelacratermicc,7.02274963259697,36.0,354
tmp_rean_df2.REAN_03,REAN_03,cazuelacratertlam,7.02274963259697,41.0,354
tmp_rean_df2.REAN_03,REAN_03,cazuelacraterxola,7.02274963259697,12.0,354
tmp_rean_df2.REAN_03,REAN_03,cazuelacratermete,7.02274963259697,11.0,354
tmp_rean_df2.REAN_03,REAN_03,smocratertot,7.02274963259697,134.0,354
tmp_rean_df2.REAN_03,REAN_03,smocraterxola,7.02274963259697,134.0,354
tmp_rean_df2.REAN_03,REAN_03,smocratermete,7.02274963259697,9.0,354
tmp_rean_df2.REAN_03,REAN_03,smoamphtot,7.02274963259697,38.0,354
tmp_rean_df2.REAN_03,REAN_03,smoamphxola,7.02274963259697,20.0,354
tmp_rean_df2.REAN_03,REAN_03,smoamphmete,7.02274963259697,30.0,354
tmp_rean_df2.REAN_03,REAN_03,smoscrbasintot,7.02274963259697,14.0,354
