table_name,column_name,ordinal_position,column_default,is_nullable,data_type,character_maximum_length,numeric_precision,numeric_scale
REAN_00,ssn,1,,NO,smallint,,16.0,0.0
REAN_00,unit,2,,YES,text,,,
REAN_00,site,3,,YES,text,,,
REAN_00,subsite,4,,YES,text,,,
REAN_00,comment_admin,5,,YES,text,,,
REAN_01,ssn,1,,NO,smallint,,16.0,0.0
REAN_01,rean_yearmon,2,,YES,smallint,,16.0,0.0
REAN_01,rean_month,3,,YES,smallint,,16.0,0.0
REAN_01,rean_year,4,,YES,smallint,,16.0,0.0
REAN_01,analyst_banos,5,,YES,smallint,,16.0,0.0
REAN_01,analyst_ortega,6,,YES,smallint,,16.0,0.0
REAN_01,analyst_avilaand,7,,YES,smallint,,16.0,0.0
REAN_01,analyst_avilaang,8,,YES,smallint,,16.0,0.0
REAN_01,analyst_rattray,9,,YES,smallint,,16.0,0.0
REAN_01,certot_rean,10,,YES,smallint,,16.0,0.0
REAN_01,certot_df9,11,,YES,smallint,,16.0,0.0
REAN_01,cuantot,12,,YES,smallint,,16.0,0.0
REAN_01,patltot,13,,YES,smallint,,16.0,0.0
REAN_01,tzactot,14,,YES,smallint,,16.0,0.0
REAN_01,micctot,15,,YES,smallint,,16.0,0.0
REAN_01,tlamtot,16,,YES,smallint,,16.0,0.0
REAN_01,xolatot,17,,YES,smallint,,16.0,0.0
REAN_01,metetot,18,,YES,smallint,,16.0,0.0
REAN_01,coyotot,19,,YES,smallint,,16.0,0.0
REAN_01,mazatot,20,,YES,smallint,,16.0,0.0
REAN_01,aztetot,21,,YES,smallint,,16.0,0.0
REAN_01,rtohemi,22,,YES,smallint,,16.0,0.0
REAN_01,rtoeverted,23,,YES,smallint,,16.0,0.0
REAN_01,tto,24,,YES,smallint,,16.0,0.0
REAN_01,cto,25,,YES,smallint,,16.0,0.0
REAN_02,ssn,1,,NO,smallint,,16.0,0.0
REAN_02,rtoincised,2,,YES,smallint,,16.0,0.0
REAN_02,rtopunctate,3,,YES,smallint,,16.0,0.0
REAN_02,rtovase,4,,YES,smallint,,16.0,0.0
REAN_02,rtomini,5,,YES,smallint,,16.0,0.0
REAN_02,rtomolded,6,,YES,smallint,,16.0,0.0
REAN_02,rtojar,7,,YES,smallint,,16.0,0.0
REAN_02,ollatot,8,,YES,smallint,,16.0,0.0
REAN_02,ollapatl,9,,YES,smallint,,16.0,0.0
REAN_02,ollatzac,10,,YES,smallint,,16.0,0.0
REAN_02,ollamicc,11,,YES,smallint,,16.0,0.0
REAN_02,ollatlam,12,,YES,smallint,,16.0,0.0
REAN_02,ollaxola,13,,YES,smallint,,16.0,0.0
REAN_02,ollamete,14,,YES,smallint,,16.0,0.0
