table_name,row_estimate,column_count,table_size,index_size,total_size,index_count,bloat_bytes,bloat_percent,bloat_size
REAN_fc_adds,5055,20,512 kB,128 kB,680 kB,1,157300.2524200466,30.0,0.15 MB
REAN_01,5055,25,408 kB,128 kB,568 kB,1,157300.25242004657,37.65,0.15 MB
REAN_02,5055,23,384 kB,128 kB,544 kB,1,157300.25242004657,40.0,0.15 MB
REAN_05,5055,23,368 kB,128 kB,528 kB,1,157300.25242004657,41.74,0.15 MB
REAN_07,5055,23,368 kB,128 kB,528 kB,1,157300.25242004657,41.74,0.15 MB
REAN_08,5055,23,368 kB,128 kB,528 kB,1,157300.25242004657,41.74,0.15 MB
REAN_06,5055,23,368 kB,128 kB,528 kB,1,157300.25242004657,41.74,0.15 MB
REAN_03,5055,23,368 kB,128 kB,528 kB,1,157300.25242004657,41.74,0.15 MB
REAN_04,5055,23,368 kB,128 kB,528 kB,1,157300.25242004657,41.74,0.15 MB
REAN_09,5055,13,296 kB,128 kB,456 kB,1,157300.25242004657,51.9,0.15 MB
REAN_aux_obs,5055,12,240 kB,128 kB,408 kB,1,157300.25242004657,64.01,0.15 MB
REAN_00,5055,5,224 kB,128 kB,392 kB,1,157300.25242004657,68.58,0.15 MB
REAN_10,5055,5,216 kB,128 kB,376 kB,1,157300.25242004657,71.12,0.15 MB
